id,value
skills
skills.web
skills.web.Ajax,1070
skills.web.Jquery,3271
skills.web.Javascript,2000
skills.web.HTML5,3000
skills.web.CSS,2260
skills.web.NodeJS,2264
skills.web.Handlebars,1271
skills.web.Knockout,1671
skills.web.Bootstrap,2751
skills.web.Foundation,592
skills.web.SASS,2712
skills.web.Gulp,1323
skills.web.NPM,503
skills.web.Bower,303
skills.web.Joomla,1800
skills.web.WordPress,1380

skills.frameworks
skills.frameworks.Ruby on Rails,1512
skills.frameworks.Zend Framework,618
skills.frameworks.Durandal,2212
skills.frameworks.EmberJS,989
skills.frameworks.CodeIgniter,1252
skills.frameworks.Express,1352

skills.repo
skills.repo.Git,1722
skills.repo.Mercurial,921
skills.repo.TFS,1245

skills.sql
skills.sql.MySQL,3321
skills.sql.MSSQL,3321
skills.sql.SQLite,1591

skills.languages
skills.languages.PHP,5000
skills.languages.C#,2532
skills.languages.Visual Basic,2221
skills.languages.Visual Fox Pro,650
skills.languages.Ruby,1512
skills.languages.Swift,1001
skills.languages.Objective C,989
skills.languages.Java,1576
skills.languages.Python,1861

skills.ai
skills.ai.OpenCV,1546
skills.ai.TensorFlow,3062
skills.ai.Keras,2487

skills.miscellaneous
skills.miscellaneous.Visual Studio, 320
skills.miscellaneous.Xcode, 220
skills.miscellaneous.Eclipse, 180
skills.miscellaneous.Sublime Text, 300
skills.miscellaneous.Git Hub, 225
skills.miscellaneous.Bit Bucket, 200
skills.miscellaneous.Docker, 180
